,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Australia,420315.32,421381.46,425702.48,426232.23,426304.97,434912.95,442506.14,454629.30,468405.89,474027.43,485018.62,492461.68,496318.64,498118.96,515931.29,521801.01,526437.29,533138.42,537031.99,540913.37,537275.25,538280.61,540615.87,530433.52,524957.10,535173.67,546771.76,554126.56
1,Austria,78670.34,82349.31,75750.43,75932.30,76206.72,79584.03,82874.67,82405.08,81702.16,80105.18,80414.98,84324.34,86110.74,91788.39,91382.84,92566.56,90117.31,87472.74,86816.18,80328.50,84753.26,82460.30,79811.33,80352.53,76679.76,78897.25,79596.11,82261.47
2,Belgium,146586.61,149323.54,148920.40,147890.40,152522.83,154665.23,158303.41,149781.67,154956.90,148644.59,149729.92,148131.89,147567.28,147932.27,149230.63,145283.84,142660.42,138960.92,138827.78,126262.69,132921.99,122198.36,119372.67,119304.38,113505.97,117122.09,115783.18,114539.90
3,Canada,602184.44,593402.36,610440.86,612264.42,633675.45,651011.02,672053.10,686988.02,694531.39,707376.02,730587.60,719733.43,724348.55,741002.79,742971.64,730349.48,721444.53,743766.91,723225.10,681699.30,692618.85,703378.95,711023.23,722062.81,723090.99,721992.08,707727.17,715749.23
4,Chile,52015.93,50681.03,52578.97,55432.31,58349.10,61452.14,67715.10,75203.29,76151.21,79278.89,76586.66,74731.67,76179.43,76956.02,82609.00,84333.73,85554.92,93655.96,94261.93,90886.58,91862.26,99861.19,104492.36,104304.35,101473.89,108243.31,111677.51,..
5,Czech Republic,197392.70,179181.86,172686.94,165018.18,157517.67,156717.54,159770.07,155160.05,148998.24,139448.48,149333.52,149096.97,145505.52,148758.85,149624.67,147494.14,148598.76,150336.77,145614.29,137214.52,139733.69,137753.14,133697.72,128691.10,126758.46,127777.83,129756.68,128675.05
6,Denmark,70515.44,81145.74,75165.47,77370.35,81266.93,78332.12,91499.91,82058.46,78076.83,75672.13,71367.59,73066.25,72590.38,77644.97,71510.99,67090.87,74858.97,70293.31,66656.53,63875.91,64178.39,58946.94,54334.57,56021.37,51870.80,49253.85,51297.74,49225.64
7,Estonia,40431.51,37283.66,27292.13,21350.74,22058.74,20258.55,20960.17,20584.72,18995.56,17652.00,17359.62,17760.35,17221.19,19110.05,19374.74,19203.24,18498.05,22224.69,20046.14,16757.93,21213.67,21258.93,20170.85,21941.91,21147.38,18126.70,19664.97,20879.88
8,Finland,71133.01,68905.03,67468.05,69727.63,75345.91,71788.16,77674.76,76255.50,72566.21,71981.47,70129.82,75490.30,77946.67,85531.91,81841.15,69812.90,81174.19,79513.29,71399.31,67804.04,75626.97,67805.30,62415.21,62893.83,58733.07,55122.85,58044.31,55334.13
9,France,551048.69,578336.07,566696.93,545037.07,538663.61,546758.33,564086.62,556744.45,570618.93,562660.84,556370.45,561354.83,554879.24,559543.62,557794.01,559498.93,547093.23,536947.73,530315.42,510350.61,517115.54,491009.45,490856.47,491141.06,461479.20,466384.62,467622.11,471028.19
10,Germany,1250992.61,1203924.49,1153796.50,1144856.75,1125835.20,1123034.59,1141084.77,1106000.52,1080728.82,1047033.51,1045187.43,1060271.29,1038919.73,1035574.18,1019123.50,993343.68,1000637.86,973941.70,975645.90,908054.02,942541.89,920305.85,924611.40,942250.05,903196.41,907190.48,911049.01,906611.46
11,Greece,103101.31,103172.44,104423.09,104013.10,106804.21,109155.97,112302.56,117213.49,122812.01,122983.42,126346.42,127398.95,127395.40,131131.72,131814.31,136281.25,132390.97,134996.58,131716.46,124534.99,118436.49,115453.96,112146.28,102546.57,99113.11,95330.37,91697.73,95420.78
12,Hungary,93655.93,86996.93,76993.74,77860.25,76733.49,75319.56,77621.21,76126.02,75668.40,76138.37,73207.97,75243.86,73602.07,76638.84,75604.52,75359.66,74143.45,72383.62,70576.45,64585.79,64949.13,63351.01,59647.18,56795.77,57415.82,60767.14,61139.78,63787.58
13,Iceland,3598.27,3381.65,3293.96,3378.19,3300.88,3426.18,3474.32,3644.77,3806.97,4030.52,4037.68,3935.29,4005.90,3984.22,4088.27,3947.31,4547.65,4853.21,5241.40,4943.03,4844.82,4581.64,4601.81,4598.72,4634.49,4715.09,4639.91,4754.64
14,Ireland,55417.06,56097.26,55959.17,56359.82,57697.03,59177.47,61272.68,62652.43,65173.64,66308.69,68478.41,70475.26,68428.66,68662.58,67963.83,69495.03,68782.23,68018.50,67301.83,61547.23,61104.84,56989.19,57611.53,57410.22,57098.54,59211.81,61270.20,60743.73
15,Israel,..,..,..,..,..,..,57653.00,..,..,..,67163.00,..,..,71447.59,71882.62,72400.33,73781.33,76930.18,78435.20,74568.17,77235.62,79187.52,85028.10,79568.92,76957.36,80600.54,79935.04,..
16,Italy,517745.65,518908.77,515451.15,509407.90,503474.65,532419.03,525294.65,531865.22,543114.44,548226.46,554105.75,561225.23,561242.99,575695.55,579999.23,580599.89,570044.72,560568.96,547846.69,496177.67,505773.05,492475.31,472722.36,442708.38,426211.75,434043.79,432119.01,427707.85
17,Japan,1270003.62,1283840.35,1296545.97,1289062.30,1353408.36,1374496.14,1387110.94,1379442.88,1330890.59,1354486.38,1374846.59,1349407.01,1373198.00,1379176.14,1371761.54,1378956.85,1357394.99,1393442.09,1321398.23,1248598.70,1302731.55,1353795.03,1396605.10,1408057.25,1360070.65,1321466.53,1305751.33,1289630.58
18,Korea,292939.00,316235.00,343147.00,378762.00,403832.00,437295.00,471119.00,500821.00,430226.00,468287.00,501430.00,514637.00,536010.00,546328.00,555171.00,559146.00,564456.00,579527.00,592709.00,597564.00,657428.00,682945.00,687126.00,696749.00,690944.00,692924.00,694066.00,..
19,Latvia,26259.46,24365.54,19616.52,16199.65,14269.26,12893.29,12934.45,12382.56,11883.59,11102.35,10487.76,11062.16,11043.44,11221.62,11206.79,11387.93,11883.79,12339.42,11873.99,11176.16,12279.23,11489.40,11327.46,11259.72,11173.49,11255.92,11268.72,11306.20
20,Lithuania,48213.47,50213.09,30935.26,24834.45,23378.43,22348.70,23373.07,22907.43,23844.27,21059.75,19503.27,20253.10,20648.06,20809.99,21645.03,22849.56,23141.98,25294.38,24321.86,19909.40,20728.51,21294.55,21228.99,19945.81,19907.76,20205.62,20186.47,20417.33
21,Luxembourg,12756.38,13404.09,13132.85,13287.47,12466.21,10093.18,10154.56,9504.71,8626.68,9092.59,9678.14,10165.43,10941.89,11380.84,12783.08,13024.76,12852.45,12267.33,12153.88,11607.67,12180.08,12061.97,11781.30,11238.61,10786.88,10294.94,10051.96,10236.08
22,Mexico,444741.58,453231.87,455133.32,458498.73,482721.51,471385.13,493529.77,517909.70,543847.61,529229.90,544660.10,537610.98,557652.41,563298.30,574316.76,592587.22,616361.70,646665.30,691822.34,671577.38,669084.03,681190.36,673721.90,683120.59,686159.50,699564.27,..,..
23,Netherlands,220793.63,228440.89,229170.72,229929.21,230815.64,231011.59,242076.95,233882.30,234437.62,221104.56,219304.19,220007.28,217878.90,218563.75,219970.34,214308.46,209233.95,207700.18,207095.00,201412.67,213363.03,199235.36,195346.94,194953.95,187281.88,195560.41,195384.32,193259.92
24,New Zealand,65668.25,66490.88,67620.61,67383.42,68702.64,69411.76,71541.05,74327.06,72236.40,74082.61,76179.52,79102.96,79386.99,81590.53,81250.99,83270.23,83442.28,81325.40,81266.90,78477.27,78964.90,78679.12,81054.66,80540.66,81310.14,81202.02,79136.11,80853.47
25,Norway,51210.40,48975.86,47321.25,49153.96,50995.82,51278.32,54291.20,54222.10,54425.76,55365.36,54831.96,56117.81,55029.01,55694.30,56203.40,55366.87,55327.36,57013.37,55595.91,53178.49,55466.75,54638.05,54090.28,54015.24,54127.25,54450.03,53607.84,52712.54
26,Poland,474350.11,462290.21,449315.75,448829.50,443645.88,444963.25,458389.54,449500.94,417992.08,406559.57,395472.42,394370.74,384386.31,398004.61,403040.15,403424.42,418137.52,418633.15,411395.64,393443.18,411668.71,411033.61,403648.28,399974.18,387087.47,390444.60,399122.54,413781.40
27,Portugal,59091.60,60795.85,65086.35,63669.57,64535.96,68927.38,66652.41,69943.26,74682.24,82757.75,82081.96,81689.75,85600.83,80266.19,83348.68,85610.35,80855.01,78574.83,76157.33,73032.49,68800.68,67416.85,65556.09,63710.73,63708.93,67735.41,65935.73,70546.30
28,Slovak Republic,73361.59,63969.61,58543.98,55034.44,52614.58,53212.04,53161.89,53023.21,52434.57,51135.39,49196.02,51474.96,50119.83,50423.82,51115.30,51142.22,51030.32,49243.41,49712.73,45429.07,46295.49,45545.21,43057.23,42727.14,40659.92,41644.66,42153.87,43316.45
29,Slovenia,18639.29,17320.15,17419.12,17621.30,18025.28,18720.72,19355.67,19707.85,19464.38,18833.37,19075.52,19994.17,20176.00,19899.91,20217.01,20519.46,20707.17,20847.16,21572.75,19601.55,19625.91,19634.79,19062.29,18359.17,16625.56,16819.79,17681.28,17453.50
30,Spain,288492.48,296204.04,305976.11,295737.62,312540.18,328614.07,320379.31,334703.80,344565.81,372043.27,387527.93,385240.59,403569.26,410975.15,426792.95,441038.21,434005.89,445157.52,411404.41,372107.49,357676.78,357344.00,350671.71,323441.20,326121.00,337598.75,326383.41,340230.88
31,Sweden,71303.68,71481.93,70923.03,71192.34,73570.96,73287.20,76893.86,72137.14,72496.34,69631.22,68482.63,68853.73,69791.15,70211.60,69319.21,66587.27,66536.13,64935.64,62566.50,58340.46,64282.22,60207.29,56872.55,55366.28,53831.57,53460.58,52942.81,52660.27
32,Switzerland,53251.60,55116.57,54879.36,52324.57,51324.73,52188.90,52800.04,51609.56,53252.89,52975.64,52352.21,53893.46,52265.52,53400.85,54029.31,54714.18,54334.78,52441.79,53913.73,52562.47,54117.09,50028.65,51455.52,52229.41,48364.10,47815.88,48182.78,47158.96
33,Turkey,219201.69,226578.19,232801.91,240148.98,234126.68,247584.91,267232.26,278606.56,280288.34,277758.55,298889.95,280410.86,286072.83,305596.13,314951.03,337212.68,358154.98,391422.85,387593.33,395515.46,398660.53,427571.91,446935.09,438968.82,457961.87,472190.81,498468.94,526252.99
34,United Kingdom,797947.89,807118.94,786249.39,766960.72,757971.58,751272.37,773285.55,747861.87,746499.57,715996.76,715687.11,718693.02,699148.15,706205.02,702933.15,695164.99,688015.34,676322.44,655903.39,599870.78,614360.62,567160.79,583652.53,569901.74,529502.81,511980.26,487034.99,474346.12
35,United States,6371000.54,6315615.19,6424934.36,6532069.60,6624835.79,6710067.30,6907699.05,6968461.97,7032526.01,7071461.46,7232010.77,7116810.08,7156652.87,7199262.66,7333052.05,7339039.87,7270326.95,7369967.71,7160600.81,6709369.15,6938591.68,6787419.03,6545969.33,6710218.18,6759995.63,6623775.48,6492267.43,6456718.19
36,European Union (28 countries),5649529.34,5555045.95,5379830.54,5281540.39,5255297.27,5308544.00,5418671.89,5326316.82,5281519.48,5172643.92,5168911.90,5223118.41,5182922.84,5265582.69,5265368.65,5228428.62,5214524.89,5162425.25,5046999.43,4681900.46,4783627.79,4626382.21,4563064.71,4468920.46,4297635.77,4327313.20,4303391.87,4323163.15
37,OECD - Europe,5595162.50,5575281.50,5425269.50,5343126.50,5317709.00,5377032.50,5507200.50,5430485.50,5412113.50,5326301.50,5348640.50,5380002.00,5342087.00,5434651.00,5446908.00,5432328.50,5437764.50,5412705.50,5299265.00,4969624.00,5082699.50,4939252.00,4906685.50,4822748.00,4664985.50,4705401.50,4712086.50,4754649.00
38,OECD - Total,15171684.00,15133813.00,15159026.00,15220484.00,15427192.00,15644717.00,16078128.00,16148165.00,16123155.00,16149179.00,16437124.00,16333058.00,16411824.00,16591832.00,16775855.00,16794214.00,16736965.00,16931124.00,16580017.00,15663278.00,16128491.00,15943989.00,15732322.00,15837803.00,15669944.00,15570343.00,15428983.00,15436970.00
39,Argentina,220240.77,230413.76,234122.38,239560.14,243598.69,244499.37,256463.93,258303.62,262725.06,264637.84,280308.99,276902.60,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,..,..,..
40,Brazil,573078.75,592144.03,601634.46,614410.57,633105.12,660104.25,664669.23,689838.77,709934.24,729124.26,756663.68,775840.13,791183.70,811625.77,846526.37,863894.87,881670.31,881781.75,910097.94,890514.88,954324.65,991691.00,1027739.00,..,..,..,..,..
41,China (People's Republic of),..,..,..,..,4057617.00,..,..,..,..,..,..,..,..,..,..,7465861.70,..,..,..,..,..,..,11895765.00,..,..,..,..,..
42,Colombia,94040.62,97252.60,102161.07,103813.59,105140.36,106659.23,109795.91,114194.85,113892.08,108652.18,110795.20,109488.75,109966.45,113929.09,117271.11,122238.97,130651.10,131880.49,130025.62,137137.33,138247.79,133918.32,139838.47,147802.85,150614.76,..,..,..
43,Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10878.07,..,..,..,..,12511.35,..,13257.36,..,..,..,..,..
44,India,..,..,..,..,1214248.00,..,..,..,..,..,1523766.56,..,..,..,..,..,..,..,..,..,2100849.73,..,..,..,..,..,..,..
45,Indonesia,..,..,..,..,..,..,..,..,..,..,502363.00,537949.00,545911.00,559139.00,583101.00,590736.00,610242.00,607947.00,629710.00,628562.00,685711.00,726262.00,757250.00,796579.00,864948.00,(E)907334.00,(E)883224.00,..
46,Russia,3186796.00,3024288.33,2537053.87,2399328.57,2137001.03,2084833.22,2029804.97,1912592.16,1879190.45,1904985.79,1900819.66,1941993.69,1923732.09,1958581.74,1973483.88,1993962.74,2056688.15,2058076.28,2097172.65,1960223.77,2057672.77,2120496.67,2146305.50,2090717.03,2089475.08,2093652.94,2097476.84,2155470.67
47,South Africa,347349.40,..,..,..,379837.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
