Country,Austria,Austria,Belgium,Belgium,Bulgaria,Croatia,Czech Republic,Czech Republic,Denmark,Denmark,Estonia,Estonia,Finland,Finland,France,France,Germany,Germany,Greece,Greece,Hungary,Hungary,Ireland,Ireland,Italy,Italy,Latvia,Latvia,Lithuania,Lithuania,Luxembourg,Luxembourg,Malta,Netherlands,Netherlands,Poland,Poland,Portugal,Portugal,Republic of Cyprus,Romania,Slovakia,Slovakia,Slovenia,Slovenia,Spain,Spain,Sweden,Sweden,United Kingdom,United Kingdom
Activity,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Pollution emissions,Pollution emissions,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Pollution emissions,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Food Production,Food Production,Pollution emissions,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions
1990,24721.0,78670.34,0.0,146586.61,26073.0,0.0,0.0,197392.7,23218.0,70515.44,40431.51,0.0,14901.0,71133.01,171107.0,551048.69,232351.0,1250992.61,103101.31,28629.0,93655.93,39346.0,55417.06,11943.0,148199.0,517745.65,26259.46,0.0,48213.47,0.0,12756.38,0.0,819.0,220793.63,70331.0,474350.11,149870.0,28181.0,59091.6,2320.0,62989.0,0.0,73361.59,18639.29,0.0,288492.48,120074.0,24271.0,71303.68,133515.0,797947.89
1991,24461.0,82349.31,0.0,149323.54,27231.0,0.0,0.0,179181.86,23248.0,81145.74,37283.66,0.0,13797.0,68905.03,176966.0,578336.07,211866.0,1203924.49,103172.44,29661.0,86996.93,36099.0,56097.26,11496.0,152166.0,518908.77,24365.54,0.0,50213.09,0.0,13404.09,0.0,828.0,228440.89,62610.0,462290.21,141291.0,27411.0,60795.85,2303.0,60804.0,0.0,63969.61,17320.15,0.0,296204.04,120149.0,23511.0,71481.93,129751.0,807118.94
1992,24427.0,75750.43,0.0,148920.4,21809.0,9525.0,0.0,172686.94,23610.0,75165.47,27292.13,4771.0,13703.0,67468.05,170332.0,566696.93,211566.0,1153796.5,104423.09,30188.0,76993.74,31499.0,55959.17,11424.0,153521.0,515451.15,19616.52,8167.0,30935.26,9667.0,13132.85,0.0,860.0,229170.72,66338.0,449315.75,123873.0,26344.0,65086.35,2532.0,61463.0,0.0,58543.98,17419.12,4087.0,305976.11,117991.0,23707.0,70923.03,132955.0,786249.39
1993,24317.0,75932.3,0.0,147890.4,19150.0,9972.0,25372.0,165018.18,23199.0,77370.35,21350.74,4294.0,13207.0,69727.63,176487.0,545037.07,205382.0,1144856.75,104013.1,30280.0,77860.25,29053.0,56359.82,11510.0,148887.0,509407.9,16199.65,7130.0,24834.45,11171.0,13287.47,0.0,894.0,229929.21,58813.0,448829.5,140162.0,27717.0,63669.57,2702.0,59847.0,13515.0,55034.44,17621.3,4454.0,295737.62,117297.0,24404.0,71192.34,131707.0,766960.72
1994,24389.0,76206.72,0.0,152522.83,19537.0,10754.0,28519.0,157517.67,23628.0,81266.93,22058.74,3646.0,13711.0,75345.91,173802.0,538663.61,206518.0,1125835.2,106804.21,31919.0,76733.49,32109.0,57697.03,12016.0,147704.0,503474.65,14269.26,6687.0,23378.43,9889.0,12466.21,0.0,847.0,230815.64,63656.0,443645.88,124010.0,28202.0,64535.96,2598.0,62280.0,13147.0,52614.58,18025.28,4760.0,312540.18,116546.0,24661.0,73570.96,133588.0,757971.58
1995,23295.0,79584.03,0.0,154665.23,19805.0,11546.0,29661.0,156717.54,24633.0,78332.12,20258.55,3675.0,13951.0,71788.16,171303.0,546758.33,207780.0,1123034.59,109155.97,31646.0,75319.56,31241.0,59177.47,12293.0,148219.0,532419.03,12893.29,6164.0,22348.7,9595.0,10093.18,0.0,888.0,231011.59,57322.0,444963.25,133315.0,28236.0,68927.38,2794.0,61891.0,12974.0,53212.04,18720.72,4842.0,328614.07,110088.0,24414.0,73287.2,129456.0,751272.37
1996,22987.0,82874.67,0.0,158303.41,17748.0,11790.0,30701.0,159770.07,25524.0,91499.91,20960.17,3690.0,14118.0,77674.76,172085.0,564086.62,211402.0,1141084.77,112302.56,32471.0,77621.21,32118.0,61272.68,11903.0,155230.0,525294.65,12934.45,6684.0,23373.07,10950.0,10154.56,0.0,999.0,242076.95,58885.0,458389.54,132085.0,28121.0,66652.41,2729.0,60996.0,13712.0,53161.89,19355.67,5124.0,320379.31,120240.0,24832.0,76893.86,134946.0,773285.55
1997,24459.0,82405.08,0.0,149781.67,18398.0,11910.0,29272.0,155160.05,26599.0,82058.46,20584.72,3864.0,14409.0,76255.5,172722.0,556744.45,205932.0,1106000.52,117213.49,32752.0,76126.02,31400.0,62652.43,12727.0,152197.0,531865.22,12382.56,6290.0,22907.43,12535.0,9504.71,0.0,988.0,233882.3,55002.0,449500.94,128013.0,28212.0,69943.26,2696.0,61843.0,13142.0,53023.21,19707.85,4998.0,334703.8,126645.0,25143.0,72137.14,137653.0,747861.87
1998,23958.0,81702.16,0.0,154956.9,19113.0,12197.0,28697.0,148998.24,26624.0,78076.83,18995.56,3800.0,14548.0,72566.21,175638.0,570618.93,209584.0,1080728.82,122812.01,33084.0,75668.4,31892.0,65173.64,12420.0,156458.0,543114.44,11883.59,5643.0,23844.27,12347.0,8626.68,0.0,1099.0,234437.62,54021.0,417992.08,138942.0,30510.0,74682.24,2735.0,62742.0,12688.0,52434.57,19464.38,4795.0,344565.81,130147.0,24751.0,72496.34,137296.0,746499.57
1999,23080.0,80105.18,0.0,148644.59,18766.0,12078.0,28563.0,139448.48,26560.0,75672.13,17652.0,3876.0,14364.0,71981.47,176283.0,562660.84,206727.0,1047033.51,122983.42,34861.0,76138.37,32308.0,66308.69,13535.0,161491.0,548226.46,11102.35,5558.0,21059.75,11216.0,9092.59,0.0,1090.0,221104.56,61762.0,406559.57,130514.0,30553.0,82757.75,2779.0,64218.0,12362.0,51135.39,18833.37,5092.0,372043.27,131408.0,24746.0,69631.22,139757.0,715996.76
2000,23298.0,80414.98,35680.0,149729.92,16572.0,11489.0,28075.0,149333.52,27055.0,71367.59,17359.62,4388.0,14508.0,70129.82,178239.0,556370.45,217063.0,1045187.43,126346.42,35438.0,73207.97,30485.0,68478.41,13383.0,164746.0,554105.75,10487.76,5675.0,19503.27,11825.0,9678.14,1220.0,1096.0,219304.19,59552.0,395472.42,131627.0,29707.0,82081.96,2411.0,57803.0,11091.0,49196.02,19075.52,5095.0,387527.93,133017.0,24414.0,68482.63,138666.0,715687.11
2001,23707.0,84324.34,35763.0,148131.89,16781.0,13187.0,28125.0,149096.97,27308.0,73066.25,17760.35,4326.0,14906.0,75490.3,182113.0,561354.83,213744.0,1060271.29,127398.95,35552.0,75243.86,30530.0,70475.26,14547.0,156250.0,561225.23,11062.16,5549.0,20253.1,11918.0,10165.43,1222.0,1096.0,220007.28,59524.0,394370.74,127756.0,30145.0,81689.75,2569.0,62575.0,11663.0,51474.96,19994.17,4773.0,385240.59,131812.0,24469.0,68853.73,144443.0,718693.02
2002,23230.0,86110.74,36506.0,147567.28,17109.0,13277.0,27970.0,145505.52,28295.0,72590.38,17221.19,3800.0,14810.0,77946.67,183302.0,554879.24,219432.0,1038919.73,127395.4,35235.0,73602.07,30684.0,68428.66,15409.0,156399.0,561242.99,11043.44,5999.0,20648.06,11560.0,10941.89,1310.0,1061.0,217878.9,54010.0,384386.31,119938.0,28812.0,85600.83,2504.0,63550.0,11528.0,50119.83,20176.0,5186.0,403569.26,135708.0,24834.0,69791.15,145480.0,699148.15
2003,23479.0,91788.39,36217.0,147932.27,15318.0,12438.0,26401.0,148758.85,28681.0,77644.97,19110.05,3530.0,15281.0,85531.91,171211.0,559543.62,209830.0,1035574.18,131131.72,36026.0,76638.84,30393.0,68662.58,15416.0,155143.0,575695.55,11221.62,5893.0,20809.99,11780.0,11380.84,1309.0,1093.0,218563.75,52516.0,398004.61,114677.0,28340.0,80266.19,2337.0,68788.0,10945.0,50423.82,19899.91,4683.0,410975.15,142802.0,24928.0,70211.6,148295.0,706205.02
2004,24465.0,91382.84,35273.0,149230.63,17512.0,12886.0,28448.0,149624.67,27889.0,71510.99,19374.74,3522.0,15085.0,81841.15,181238.0,557794.01,215978.0,1019123.5,131814.31,37606.0,75604.52,30819.0,67963.83,15756.0,167995.0,579999.23,11206.79,5657.0,21645.03,10937.0,12783.08,1308.0,1103.0,219970.34,55990.0,403040.15,119996.0,30299.0,83348.68,2385.0,71555.0,11072.0,51115.3,20217.01,5346.0,426792.95,142711.0,25203.0,69319.21,147730.0,702933.15
2005,24466.0,92566.56,32353.0,145283.84,15388.0,12187.0,28060.0,147494.14,28266.0,67090.87,19203.24,3793.0,15111.0,69812.9,177327.0,559498.93,217398.0,993343.68,136281.25,35873.0,75359.66,30426.0,69495.03,15474.0,164683.0,580599.89,11387.93,5954.0,22849.56,11435.0,13024.76,1290.0,1084.0,214308.46,51748.0,403424.42,108920.0,28393.0,85610.35,2141.0,68885.0,10654.0,51142.22,20519.46,5182.0,441038.21,134618.0,24218.0,66587.27,150257.0,695164.99
2006,24030.0,90117.31,32234.0,142660.42,14713.0,11916.0,24261.0,148598.76,28703.0,74858.97,18498.05,3469.0,14580.0,81174.19,172824.0,547093.23,217313.0,1000637.86,132390.97,35090.0,74143.45,29617.0,68782.23,15220.0,160462.0,570044.72,11883.79,5751.0,23141.98,9860.0,12852.45,1295.0,1049.0,209233.95,54371.0,418137.52,105204.0,27894.0,80855.01,2234.0,70546.0,10800.0,51030.32,20707.17,4890.0,434005.89,138483.0,23504.0,66536.13,148738.0,688015.34
2007,24431.0,87472.74,35016.0,138960.92,13637.0,11476.0,25583.0,150336.77,27657.0,70293.31,22224.69,4006.0,15526.0,79513.29,172974.0,536947.73,215849.0,973941.7,134996.58,36091.0,72383.62,27713.0,68018.5,15227.0,160903.0,560568.96,12339.42,5778.0,25294.38,10866.0,12267.33,1300.0,1147.0,207700.18,55267.0,418633.15,117841.0,29328.0,78574.83,2226.0,65330.0,10484.0,49243.41,20847.16,5009.0,445157.52,144947.0,24649.0,64935.64,146990.0,676322.44
2008,25267.0,86816.18,34902.0,138827.78,13079.0,13085.0,25978.0,145614.29,27209.0,66656.53,20046.14,3765.0,15567.0,71399.31,177453.0,530315.42,221273.0,975645.9,131716.46,35304.0,70576.45,27344.0,67301.83,16917.0,158423.0,547846.69,11873.99,5401.0,24321.86,10258.0,12153.88,1377.0,1074.0,207095.0,55742.0,411395.64,114496.0,28977.0,76157.33,2474.0,64818.0,10704.0,49712.73,21572.75,5109.0,411404.41,141519.0,25508.0,62566.5,148209.0,655903.39
2009,24731.0,80328.5,34964.0,126262.69,13281.0,11937.0,26598.0,137214.52,26677.0,63875.91,16757.93,3780.0,15633.0,67804.04,172872.0,510350.61,222413.0,908054.02,124534.99,34021.0,64585.79,26985.0,61547.23,15851.0,158382.0,496177.67,11176.16,5529.0,19909.4,10224.0,11607.67,1345.0,1008.0,201412.67,54980.0,393443.18,114009.0,28312.0,73032.49,2337.0,61090.0,11147.0,45429.07,19601.55,4901.0,372107.49,136073.0,25255.0,58340.46,145861.0,599870.78
2010,24518.0,84753.26,32708.0,132921.99,13463.0,11475.0,25118.0,139733.69,27263.0,64178.39,21213.67,3514.0,15254.0,75626.97,167332.0,517115.54,210659.0,942541.89,118436.49,31975.0,64949.13,25144.0,61104.84,15786.0,154867.0,505773.05,12279.23,5303.0,20728.51,9023.0,12180.08,1375.0,966.0,213363.03,53418.0,411668.71,111292.0,28263.0,68800.68,2438.0,60827.0,11573.0,46295.49,19625.91,4695.0,357676.78,133940.0,23938.0,64282.22,146770.0,614360.62
2011,25444.0,82460.3,32196.0,122198.36,13007.0,11247.0,25227.0,137753.14,26527.0,58946.94,21258.93,3633.0,15835.0,67805.3,169166.0,491009.45,214165.0,920305.85,115453.96,33246.0,63351.01,25388.0,56989.19,15572.0,156057.0,492475.31,11489.4,5462.0,21294.55,9634.0,12061.97,1432.0,977.0,199235.36,54448.0,411033.61,114343.0,28010.0,67416.85,2382.0,66078.0,11819.0,45545.21,19634.79,4652.0,357344.0,133445.0,25578.0,60207.29,146143.0,567160.79
2012,24071.0,79811.33,31326.0,119372.67,11841.0,10234.0,23546.0,133697.72,25719.0,54334.57,20170.85,3781.0,16137.0,62415.21,164096.0,490856.47,215798.0,924611.4,112146.28,32503.0,59647.18,24185.0,57611.53,16010.0,153460.0,472722.36,11327.46,5217.0,21228.99,10017.0,11781.3,1501.0,994.0,195346.94,53325.0,403648.28,113530.0,28480.0,65556.09,2186.0,53690.0,9786.0,43057.23,19062.29,4506.0,350671.71,127967.0,25908.0,56872.55,146451.0,583652.53
2013,24990.0,80352.53,33336.0,119304.38,12335.0,11467.0,23978.0,128691.1,27260.0,56021.37,21941.91,3864.0,16183.0,62893.83,166079.0,491141.06,218891.0,942250.05,102546.57,32742.0,56795.77,23635.0,57410.22,18160.0,153450.0,442708.38,11259.72,4764.0,19945.81,10206.0,11238.61,1511.0,1003.0,194953.95,53832.0,399974.18,110067.0,28049.0,63710.73,2243.0,60797.0,10122.0,42727.14,18359.17,4495.0,323441.2,137594.0,26656.0,55366.28,149979.0,569901.74
